WindSpeed,WindDirection,PitchAngle,Temperature,Power
8.1,138.0,-2.7,12.0,844.0
7.4,135.0,-2.6,11.0,689.799988
8.1,131.0,-2.7,11.0,871.0
8.0,134.0,-2.8,12.0,846.799988
8.1,133.199997,-2.7,12.0,881.400024
7.7,136.600006,-2.6,11.0,766.400024
7.6,139.300003,-2.6,11.0,761.700012
7.7,139.600006,-2.6,11.0,767.099976
7.8,137.300003,-2.7,11.0,785.299988
8.2,137.5,-2.8,11.0,911.5
7.9,134.199997,-2.7,11.0,853.700012
7.7,136.899994,-2.6,11.0,805.099976
8.5,131.800003,-2.8,11.0,1027.5
8.0,132.699997,-2.7,12.0,846.599976
8.3,132.5,-2.8,11.0,986.599976
8.7,130.0,-2.9,11.0,1136.099976
8.1,129.800003,-2.8,11.0,926.5
8.5,127.599998,-2.9,11.0,1096.400024
9.6,129.800003,-3.2,11.0,1489.199951
9.0,132.199997,-3.1,11.0,1257.400024
7.8,137.899994,-2.7,11.0,890.299988
7.3,139.899994,-2.5,10.0,679.5
8.2,139.699997,-2.8,10.0,981.900024
8.6,134.699997,-3.0,10.0,1133.0
8.0,138.699997,-2.8,10.0,880.0
9.5,132.600006,-2.9,10.0,1449.0
8.8,137.600006,-3.2,11.0,1209.5
7.9,138.100006,-2.7,10.0,924.700012
8.6,134.600006,-3.0,10.0,1145.900024
8.0,136.399994,-2.7,11.0,926.0
8.2,130.699997,-2.8,11.0,984.200012
7.9,139.0,-2.7,10.0,956.0
8.7,137.100006,-3.0,10.0,1204.099976
9.5,135.399994,-3.3,11.0,1485.199951
8.8,140.399994,-3.1,10.0,1267.099976
8.7,140.600006,-2.9,10.0,1184.900024
9.3,136.100006,-3.2,11.0,1345.0
8.6,137.300003,-3.0,11.0,1144.800049
9.5,139.100006,-3.2,10.0,1468.599976
8.8,142.0,-3.1,10.0,1235.599976
8.6,143.100006,-3.0,10.0,1144.800049
8.5,143.5,-2.9,10.0,1155.900024
8.5,141.699997,-2.9,10.0,1115.0
9.2,135.0,-3.1,10.0,1390.900024
10.6,140.199997,-3.2,10.0,1941.800049
10.0,128.199997,-3.0,10.0,1690.800049
8.9,131.600006,-3.1,10.0,1305.800049
9.0,139.800003,-3.1,10.0,1322.400024
9.1,136.399994,-3.1,10.0,1405.5
9.1,135.5,-3.0,10.0,1358.699951
8.9,138.5,-3.1,10.0,1196.0
9.3,150.300003,-3.1,10.0,1437.5
8.2,129.5,-2.8,10.0,1109.5
11.4,137.800003,-1.6,10.0,2278.399902
12.6,125.400002,0.0,11.0,2769.300049
13.0,132.5,0.3,11.0,2787.199951
13.3,116.900002,0.4,11.0,2838.699951
10.9,124.800003,-2.1,11.0,2069.399902
12.5,120.599998,-1.2,11.0,2702.0
10.0,141.600006,-2.9,12.0,1733.5
10.6,133.0,-2.9,12.0,1951.099976
10.6,124.800003,-2.8,12.0,1996.699951
9.8,131.399994,-3.1,12.0,1669.199951
9.6,134.5,-3.2,12.0,1528.900024
10.5,128.899994,-2.8,12.0,1852.599976
11.2,129.300003,-2.4,12.0,2219.100098
11.4,133.600006,-2.3,12.0,2258.300049
10.1,138.5,-3.1,12.0,1706.5
10.1,131.600006,-3.1,12.0,1786.099976
11.0,136.300003,-2.6,12.0,2142.899902
12.6,128.800003,-0.8,12.0,2708.899902
10.8,132.600006,-2.4,13.0,2048.199951
8.9,146.800003,-3.0,13.0,1273.400024
8.1,147.5,-2.7,12.0,1027.099976
9.0,142.399994,-3.1,13.0,1322.5
8.4,139.5,-2.9,13.0,1100.0
8.2,143.699997,-2.8,12.0,1024.0
8.7,145.800003,-3.0,12.0,1153.900024
8.3,142.199997,-2.9,12.0,1034.5
7.5,148.800003,-2.6,12.0,790.700012
7.7,140.699997,-2.6,12.0,867.5
8.3,142.0,-2.8,12.0,1031.099976
8.2,140.100006,-2.8,12.0,950.299988
7.9,138.699997,-1.3,12.0,901.299988
7.2,135.399994,-2.4,12.0,711.799988
7.1,140.899994,-2.4,12.0,626.900024
7.9,144.5,-2.6,12.0,886.299988
7.5,146.5,-1.4,12.0,721.900024
7.8,135.600006,-2.7,12.0,887.700012
8.3,131.100006,-2.8,12.0,1035.699951
8.8,135.600006,-3.0,12.0,1197.300049
8.1,135.699997,-2.7,12.0,974.700012
7.6,144.5,-2.6,12.0,794.400024
7.5,144.800003,-2.6,12.0,774.700012
7.6,143.5,-2.6,12.0,800.599976
7.7,147.800003,-2.6,12.0,804.599976
7.6,144.600006,-2.6,12.0,772.400024
8.1,149.0,-2.6,12.0,947.700012
8.5,148.5,-2.7,12.0,1105.900024
8.4,148.899994,-2.7,12.0,1024.900024
8.0,147.5,-2.7,12.0,912.0
7.7,149.600006,-2.6,11.0,794.5
7.5,149.100006,-2.6,11.0,753.299988
7.8,148.300003,-2.6,11.0,834.299988
8.0,143.699997,-2.7,11.0,908.5
8.4,141.300003,-2.8,11.0,1035.5
8.4,140.300003,-2.8,11.0,1050.300049
8.6,138.399994,-2.8,11.0,1126.599976
8.8,137.899994,-2.9,11.0,1163.199951
8.2,137.899994,-2.7,11.0,983.900024
8.4,137.100006,-2.8,11.0,1048.199951
8.6,138.399994,-2.8,11.0,1121.699951
8.7,137.899994,-2.9,11.0,1102.099976
8.7,137.0,-2.9,11.0,1115.300049
8.4,136.0,-2.8,11.0,1033.5
8.7,133.600006,-3.0,10.0,1177.900024
8.4,136.399994,-2.9,10.0,1066.5
8.1,136.300003,-2.7,10.0,935.400024
8.6,139.0,-2.8,10.0,1070.400024
8.9,135.600006,-3.1,10.0,1171.099976
8.4,137.699997,-2.8,10.0,1021.5
8.3,135.300003,-2.8,10.0,1049.5
8.5,137.100006,-2.8,10.0,1082.5
8.0,147.0,-2.8,10.0,881.599976
8.6,150.899994,-2.8,10.0,1085.099976
8.3,153.300003,-2.9,9.0,1019.299988
8.7,147.899994,-2.9,9.0,1101.199951
9.2,137.800003,-3.1,10.0,1415.800049
